date,block_size_total,fee_ratio_multiple,fees_total,gas_price_mean,asol,cdd,dormancy,liveliness,nupl,nvt_ratio,nvt_signal,sopr,velocity,difficulty,market_cap_to_thermocap_ratio,miner_revenue_fees,miner_revenue_total,thermocap,issuance,exchange_deposits,exchange_withdrawals,exchanges_net_flow_volume,external_contract_calls,internal_contract_calls,transaction_count,transaction_rate,transfer_volume_sum,active_addresses,new_addresses,total_addresses,price
1/01/2016,4321262,1666.73941,15.65089494,54747565393,8.92381827,12464247.8,36.17567539,0.182093453,-1.230458541,221.061603,203.3399519,0.897096807,0.004523626,8.35919E+12,2.39E-07,0.000599974,26085.96339,3941867.029,26070.3125,2397,98,-34023.73923,1096,3712,8232,0.095277778,344547.7566,2350,115,35676,0.942284869
2/01/2016,4858390,1415.473251,19.35979081,53323453178,10.3676636,7144353.263,27.55883732,0.181952608,-1.246289124,293.9116663,201.5214804,0.857861717,0.003402383,8.20454E+12,2.36E-07,0.000706477,27403.26604,3967932.536,27383.90625,2505,104,-23120.8907,1766,5825,9164,0.106064815,259240.01,2410,132,35808,0.935231077
3/01/2016,4903207,1424.042503,19.44831668,53342341402,9.730130889,10157711.48,27.39256689,0.181289163,-1.15579564,205.5480838,208.3135603,0.926824175,0.004865042,8.36124E+12,2.44E-07,0.000702226,27695.22957,3994465.153,27675.78125,2520,114,-44732.33809,1716,6045,9258,0.107152778,370819.9935,2454,144,35952,0.973900073
4/01/2016,5000778,1287.7231,21.3104319,54038066808,10.12756306,1269191.917,8.234796628,0.180697365,-1.218923926,494.7187429,203.5241013,0.973759303,0.002021351,8.19454E+12,2.35E-07,0.000776564,27441.93543,4020529.313,27420.625,2445,142,-30057.10358,1904,6663,9469,0.109594907,154125.4719,2537,161,36113,0.946148092
5/01/2016,7155015,462.2468309,60.3564445,57078526509,12.02751559,35894662.15,34.63763852,0.180954505,-1.201977558,73.60540826,200.128389,0.978297787,0.013585958,8.51577E+12,2.35E-07,0.002163346,27899.57519,4047047.739,27839.21875,2489,71,318007.6251,8763,26753,16424,0.190092593,1036290.685,2533,147,36260,0.953069585
6/01/2016,7902225,416.2088047,66.53391845,53724486418,13.30999773,49233422.91,188.004225,0.183405206,-1.196006555,291.3775994,199.9142594,0.834836482,0.003431973,8.56898E+12,2.34E-07,0.00240264,27692.00267,4073316.421,27625.46875,2552,91,2652.704215,9075,24346,17059,0.19744213,261874.0238,2645,227,36487,0.953449068
7/01/2016,7718921,413.5112449,65.5065476,53273537581,14.32996284,12239942.66,34.94831577,0.184673061,-1.217827347,217.9461607,196.8020346,0.892168669,0.004588289,8.08836E+12,2.30E-07,0.002418314,27087.69405,4099073.402,27022.1875,2497,151,-75877.05992,13877,40875,22063,0.255358796,350229.8291,2683,181,36668,0.94360301
8/01/2016,5588918,1075.750404,26.04950754,53800517545,10.12948108,3143188.108,16.01269659,0.184269504,-1.114496629,389.0054789,205.7176624,0.94864952,0.002570658,8.49616E+12,2.40E-07,0.000929584,28022.76826,4126149.134,27996.71875,2512,165,-63020.75543,2400,6394,10916,0.126342593,196293.4906,2610,188,36856,0.989209564
9/01/2016,6166658,703.1734825,39.30051752,53277018400,14.8821116,2084626.68,9.890121513,0.183344205,-1.118969229,362.4030757,204.6304705,0.984259139,0.002759358,8.47856E+12,2.38E-07,0.001422124,27635.08177,4153269.743,27595.78125,2444,149,-312.4615452,3682,8689,11774,0.136273148,210778.6722,2624,244,37100,0.986923425
10/01/2016,5315621,1037.538557,26.32605277,53104731714,8.528045094,2539781.189,18.02517379,0.182323292,-1.084984896,542.3214906,208.1609459,0.890139327,0.001843925,8.51074E+12,2.40E-07,0.00096382,27314.2948,4180256.128,27287.96875,2597,158,509.3922163,2131,6209,10320,0.119444444,140901.8975,2797,219,37319,1.002572874
11/01/2016,5403609,1059.46267,25.51356511,53940328769,10.42503668,18472473.87,36.61123466,0.1821179,-0.962564126,151.501323,219.114692,0.809196579,0.006600602,9.03204E+12,2.53E-07,0.000943875,27030.66982,4208224.439,27005.15625,2673,226,-26571.87938,2238,8064,10890,0.126041667,504557.5227,2950,286,37605,1.063551324
12/01/2016,5392622,1011.536534,25.63072227,54526276152,12.83168073,23543225.14,23.77007355,0.182581225,-0.787060568,77.20382351,236.5556319,1.072532726,0.012952726,8.78325E+12,2.75E-07,0.000988595,25926.41197,4237864.361,25900.78125,2766,267,98077.75369,2289,7124,10860,0.125694444,990456.5542,2985,317,37922,1.167405297
13/01/2016,7119076,440.9629322,60.31260944,58256098368,15.1229315,5010068.192,11.83781535,0.182689294,-0.857503537,180.7394036,227.4471823,1.001429052,0.005532828,8.56631E+12,2.63E-07,0.002267764,26595.62511,4267383.106,26535.3125,2722,183,-58933.03533,7758,22928,16158,0.187013889,423225.7426,2815,202,38124,1.123329404
14/01/2016,5405058,1006.34215,26.77617641,55250356301,13.42318784,15888167.28,47.78409853,0.182580547,-0.747943972,230.1374634,240.2019125,0.815059645,0.004345229,9.05117E+12,2.77E-07,0.000993698,26945.99493,4297911.145,26919.21875,2662,162,-36366.86006,2408,6821,10648,0.123240741,332499.0482,2751,202,38326,1.192188481
15/01/2016,5115619,1158.046633,23.16012422,57562550443,17.6707249,35416482.19,37.46278275,0.182934548,-0.741216829,80.97004914,234.0489624,0.969742462,0.012350246,9.21509E+12,2.76E-07,0.000863523,26820.50387,4330964.701,26797.34375,2500,287,-11530.66374,1847,4990,9868,0.114212963,945377.7747,3123,377,38703,1.196404993
16/01/2016,4881399,1171.985607,22.65025706,55150540726,13.14454014,14313934.68,25.05867316,0.184143154,-0.725706233,134.0538482,232.1250835,0.954362814,0.007459689,9.19158E+12,2.77E-07,0.000853253,26545.77526,4363744.632,26523.125,2839,262,-53755.3965,2190,4717,10660,0.12337963,571216.7834,2662,263,38966,1.206682936
17/01/2016,4464778,1562.050976,17.0397022,53477721574,10.43923284,16803598.75,45.29817938,0.183840941,-0.574931453,206.4949935,252.6818673,1.066821416,0.004842732,9.04365E+12,3.00E-07,0.000640184,26616.88345,4396635.855,26599.84375,2719,166,-71207.53645,1713,2924,9743,0.112766204,370955.2785,2578,267,39233,1.320453764
18/01/2016,5359464,861.9696255,30.91880998,53945900879,12.09963525,97941161.03,43.22322127,0.187973676,-0.46487274,33.81690549,251.0137284,1.118881585,0.029571009,9.70603E+12,3.20E-07,0.001160134,26651.07506,4434237.209,26620.15625,2855,349,307150.7129,4060,6074,12916,0.149490741,2265938.497,3050,380,39613,1.418871088
19/01/2016,5502641,734.41887,35.57695823,53767376718,13.72363977,35217374.73,28.38450441,0.192235899,-0.534115223,61.78089261,232.0107297,1.077226079,0.016186234,9.48483E+12,3.04E-07,0.001361621,26128.38946,4469872.737,26092.8125,2555,264,115009.8349,5347,12102,13416,0.155277778,1240725.369,2844,297,39910,1.357560604
20/01/2016,4831186,1396.982399,19.01349187,55721616549,16.92264147,26429600.57,44.03705412,0.192478396,-0.354962294,127.7638107,258.0248956,0.99119068,0.007826943,9.59087E+12,3.40E-07,0.000715829,26561.51349,4508549.778,26542.5,2857,212,-23127.36298,1731,5658,10609,0.122789352,600167.3158,3349,409,40319,1.531316648
21/01/2016,4682773,1278.061963,20.29597583,60639283859,10.53323478,13502803.71,27.27733782,0.193527438,-0.340376469,154.9547881,258.8577111,1.092342158,0.006453495,9.7124E+12,3.40E-07,0.000782435,25939.51473,4548017.663,25919.21875,3235,238,-107014.1764,1313,4551,10728,0.124166667,495019.1178,2900,341,40660,1.548060677
22/01/2016,5144050,843.0104,31.18132507,56195249052,11.15768868,64578454.92,70.26845989,0.194013834,-0.378910387,83.49267654,244.3137148,1.177954242,0.011977098,9.99031E+12,3.29E-07,0.001186225,26286.18133,4587992.266,26255,3160,203,-49638.84463,4558,13940,13845,0.160243056,919024.7661,2976,339,40999,1.508142891
23/01/2016,4463583,1479.229685,17.43280341,55504259187,12.57345903,46240900.07,40.42635885,0.197849036,-0.049589197,67.10575636,305.2129306,1.124520441,0.014901851,9.82005E+12,4.24E-07,0.000676028,25787.1203,4633251.273,25769.6875,3084,346,-196636.4394,948,2606,11020,0.127546296,1143830.446,3408,531,41530,1.964979277
24/01/2016,5131159,1148.838419,23.73088258,58951408559,18.84612626,78249028.78,40.74421332,0.202343333,0.041559404,39.98181463,309.4450056,1.25096875,0.025011371,1.06738E+13,4.59E-07,0.000870444,27262.94963,4691614.178,27239.21875,3430,432,182128.8973,2429,4709,12793,0.14806713,1920494.284,3820,696,42226,2.155134788
25/01/2016,6515705,640.4622167,40.19124286,56752420983,16.51996443,76523585.11,35.7690055,0.20583491,0.17273052,35.90313865,334.529136,1.21246712,0.027852718,1.0194E+13,5.25E-07,0.001561372,25740.97249,4750775.423,25700.78125,3402,469,137096.8883,6369,13164,17111,0.198043981,2139382.519,4035,783,43009,2.492803543
26/01/2016,6328336,713.0541393,37.89805755,58955359850,16.88185721,54982784.82,38.04743239,0.210305892,0.079404605,53.17065768,287.7109884,1.205449386,0.018807366,1.0866E+13,4.69E-07,0.001402418,27023.36681,4820205.036,26985.46875,3694,518,68282.46884,4768,10233,16508,0.191064815,1445111.572,4326,892,43901,2.261930685
27/01/2016,7804066,460.1006664,56.86014672,58687046251,16.06584223,43956523.11,37.32183613,0.212689415,0.133417464,65.26203324,293.5071947,1.187779172,0.015322845,1.05822E+13,4.92E-07,0.002173437,26161.3914,4882942.064,26104.53125,3420,529,-175078.2477,8070,27802,18727,0.216747685,1177769.576,4051,727,44628,2.403197956
28/01/2016,7204798,643.2509529,41.35601104,56180261528,8.390908252,44316002.22,48.06936358,0.214013912,0.176780686,83.40244393,304.0185952,1.198233956,0.011990056,1.07476E+13,5.11E-07,0.001554603,26602.29351,4949151.94,26560.9375,3456,327,28297.27529,5310,48910,16754,0.193912037,921917.8063,4459,963,45591,2.529142645
29/01/2016,6512690,700.3846181,37.41034343,59508641167,10.98580689,51124939.16,59.20799553,0.216713317,0.169240073,89.0771454,292.7965825,1.323092008,0.011226224,1.0905E+13,5.02E-07,0.001427787,26201.62909,5014835.98,26164.21875,3852,345,-89388.9387,4255,22077,16381,0.189594907,863480.324,4313,924,46515,2.515380913
30/01/2016,5915445,740.3072452,35.42928217,67198755701,9.516493118,36369186.05,36.74374268,0.218818834,0.136309315,77.73496654,272.8419605,1.220079394,0.012864224,1.08084E+13,4.79E-07,0.001350791,26228.55428,5080882.767,26193.125,3620,356,321983.3553,2940,13227,14648,0.169537037,989806.2472,4335,957,47472,2.435990838
31/01/2016,5531604,758.9403201,33.88376937,66544976813,10.70439645,24834656.91,22.67737679,0.219789497,0.080665458,70.28233676,248.2168087,1.028737183,0.014228326,1.06659E+13,4.46E-07,0.001317627,25715.75877,5142244.741,25681.875,3680,373,15143.10875,2371,10146,14163,0.163923611,1095129.174,4390,862,48334,2.295792593
1/02/2016,5419680,813.2888003,32.53922742,66170097350,10.46829583,24094642.7,40.16316817,0.220467777,0.039957373,128.3418004,235.8350554,1.206246066,0.007791694,1.08538E+13,4.24E-07,0.001229576,26463.78923,5200850.857,26431.25,3925,288,-27085.58673,1844,7278,14187,0.164201389,599918.8758,4194,642,48976,2.205558396
2/02/2016,5337915,878.8722753,29.46292784,65763607541,9.258410512,44634818.1,72.0770552,0.220979103,0.134351057,124.374053,258.0902577,1.054442881,0.008040262,1.03254E+13,4.63E-07,0.001137822,25894.15043,5258587.538,25864.6875,3703,242,-79778.13537,2537,8410,14279,0.165266204,619265.2845,4161,552,49528,2.436596072
3/02/2016,5508759,985.5845857,27.72917548,64138762372,10.54606456,36432303.04,58.72703268,0.223793742,0.162821815,124.1972192,262.2868056,1.232180248,0.00805171,1.11957E+13,4.73E-07,0.001014626,27329.44793,5324760.349,27301.71875,3907,311,-42817.01492,1904,7797,14269,0.165150463,620366.829,4325,640,50168,2.520148543
