weight(s),preparation_time,request_time,fulfillment_time,smart_contract_time
1,2997.532318,61947.632384,61947.34908,356
2,2839.224217,49307.257584,49306.922128,298
3,2835.408759,57398.144623,57397.155811000004,254
4,3000.8864670000003,69332.351857,69331.753843,242
5,4214.754709999999,69327.811717,69327.512904,260
6,3018.605248,61398.668341000004,61398.214045,246
7,3110.10235,53292.762520000004,53292.068481,270
8,2813.269552,57353.043129000005,57352.29258,244
9,3257.331539,65327.78363199999,65327.583788,244
10,2871.444225,57399.892416,57399.599359,252
11,3328.269054,41381.346655,41380.733077,274
12,2850.276317,49483.893769999995,49483.18956,228
13,2794.700731,65315.820220999994,65315.58602300001,224
14,2830.801151,69407.039313,69406.10605900001,278
15,2705.9469440000003,77301.10784099999,77300.39420499999,254
16,2742.5516,57536.22697,57535.353499,218
17,2851.735929,93339.750909,93338.705784,208
18,2723.530213,65308.697931,65308.476263000004,226
19,2852.7720390000004,73342.574316,73341.879585,218
20,2631.3160759999996,117334.49943400001,117333.498366,250
21,2752.668486,41285.924466000004,41285.778522,284
22,3048.777932,69336.05398499999,69335.511082,264
23,2673.8730490000003,61321.480677,61321.16188,250
24,2765.2503309999997,57455.590960999994,57454.906483,242
25,5142.440551,65513.39660100001,65512.259024,234
26,3761.8372699999995,57347.299232000005,57347.070424,246
27,2687.831797,41327.164884,41326.999659999994,238
28,2734.548968,45282.267747000005,45282.047364000005,226
29,2896.435212,61358.691389,61358.031575999994,252
30,2800.794434,57418.185757,57417.561817999995,248
31,2851.600555,53520.899222,53519.981266999996,236
32,3922.941487,53288.935600000004,53288.71809,234
33,2669.0679090000003,61747.674815,61747.437764,270
34,2675.533013,53486.209358,53485.361188999996,206
35,2696.496793,53748.640837,53748.288693,222
36,2708.6876570000004,73298.73788500001,73298.14032399999,216
37,2654.950944,61307.342896,61307.10963399999,242
38,2880.6031,65281.120294,65280.95826700001,252
39,3000.324032,53329.667945,53329.392103,230
